tanggal,kum_meninggal,kum_sembuh,kum_dirawat,kum_positif,harian_meninggal,harian_sembuh,harian_dirawat,harian_positif
2020-03-15,5,8,104,117,0,0,21,21
2020-03-16,5,8,121,134,0,0,17,17
2020-03-17,5,9,158,172,0,1,37,38
2020-03-18,19,11,197,227,14,2,39,55
2020-03-19,25,15,269,309,6,4,72,82
2020-03-20,32,17,320,369,7,2,51,60
2020-03-21,38,20,392,450,6,3,72,81
2020-03-22,48,29,437,514,10,9,45,64
2020-03-23,49,30,500,579,1,1,63,65
2020-03-24,55,30,601,686,6,0,101,107
2020-03-25,58,31,701,790,3,1,100,104
2020-03-26,78,35,780,893,20,4,79,103
2020-03-27,87,46,913,1046,9,11,133,153
2020-03-28,102,59,994,1155,15,13,81,109
2020-03-29,114,64,1107,1285,12,5,113,130
2020-03-30,122,75,1217,1414,8,11,110,129
