tanggal,total_pasien,sembuh,meninggal,isoman,perawatan,belum_diketahui,menunggu_hasil,nakes_terinfeksi,harian_positif,harian_positif_aktif,harian_sembuh,tanpa_gejala,dengan_gejala,tanpa_data
20/05/2021,421354,405714,7169,3797,4674,,,,895,8471,179,1312,6599,560
21/05/2021,422210,405918,7184,4142,4966,,,,856,9108,204,1306,6655,1147
22/05/2021,423142,406300,7196,4386,5260,,,,932,9646,382,1556,7514,576
23/05/2021,424009,406669,7207,4744,5389,,,,867,10133,369,1479,7469,1185
24/05/2021,424828,406987,7225,5079,5537,,,,819,10616,318,1837,8217,562
25/05/2021,425212,407493,7239,5017,5463,,,,384,10480,506,1737,7878,865
26/05/2021,425829,408019,7250,4993,5567,,,,617,10560,526,1619,7619,1322
27/05/2021,426769,408585,7271,5280,5633,,,,940,10913,566,1937,8364,612
28/05/2021,427462,409497,7288,5161,5516,,,,693,10677,912,1658,7859,1160
29/05/2021,428269,410508,7296,5004,5461,,,,807,10465,1011,1557,7184,1724
30/05/2021,429333,411495,7309,5100,5429,,,,1064,10529,987,1375,6661,2493
31/05/2021,430059,412074,7327,5241,5417,,,,726,10658,579,2117,8023,518
01/06/2021,430578,412593,7349,5214,5422,,,,519,10636,519,1996,7706,934
02/06/2021,431179,413179,7361,5178,5461,,,,601,10639,586,1951,7330,1358
03/06/2021,431893,413680,7381,5402,5430,,,,714,10832,501,1811,7116,1905
04/06/2021,432799,414496,7402,5414,5487,,,,906,10901,816,2618,7650,633
05/06/2021,434116,415317,7423,5756,5620,,,,1317,11376,821,2404,7279,1693
06/06/2021,435135,416181,7438,5966,5550,,,,1019,11516,864,1901,7135,2480
07/06/2021,436332,416994,7457,6261,5620,,,,1197,11881,813,2412,8576,893
08/06/2021,437087,417997,7478,6057,5555,,,,755,11612,1003,2186,7949,1477
09/06/2021,438458,419109,7499,6120,5730,,,,1371,11850,1112,1992,7270,2588
10/06/2021,440554,420211,7523,6991,5829,,,,2096,12820,1102,1789,6881,4150
11/06/2021,442847,421396,7543,7750,6158,,,,2293,13908,1185,1456,6442,6010
12/06/2021,445302,422121,7557,8855,6769,,,,2455,15624,725,1289,6395,7940
13/06/2021,448071,423056,7571,10034,7410,,,,2769,17444,935,1117,6352,9975
14/06/2021,450793,424088,7609,11240,7856,,,,2722,19096,1032,4032,13945,1119
15/06/2021,452295,425417,7634,11102,8142,,,,1502,19244,1329,3746,13108,2390
16/06/2021,454671,426695,7665,11555,8756,,,,2376,20311,1278,3458,12419,4434
17/06/2021,458815,428764,7713,13054,9284,,,,4144,22338,2069,2882,11788,7668
18/06/2021,463552,431264,7777,14951,9560,,,,4737,24511,2500,2531,10655,11325
19/06/2021,468447,433499,7836,16787,10325,,,,4895,27112,2235,1840,9740,15532
20/06/2021,474029,435982,7905,19105,11037,,,,5582,30142,2483,1325,8734,20083
21/06/2021,479043,439007,7976,20717,11343,,,,5014,32060,3025,8039,19670,4351
22/06/2021,482264,442059,8014,21167,11024,,,,3221,32191,3052,6351,16241,9599
23/06/2021,486957,443195,8057,22868,12837,,,,4693,35705,1136,6163,15906,13636
24/06/2021,494462,445718,8107,26403,14234,,,,7505,40637,2523,5567,15624,19446
25/06/2021,501396,448288,8177,29325,15606,,,,6934,44931,2570,5170,14668,25093
26/06/2021,510667,451013,8220,33829,17605,,,,9271,51434,2725,4381,14547,32506
27/06/2021,520061,454497,8269,38464,18831,,,,9394,57295,3484,3484,13789,40022
28/06/2021,528409,457935,8348,42252,19874,,,,8348,62126,3438,17144,29461,15521
