tanggal,kum_meninggal,kum_sembuh,kum_isoman,kum_dirawat,kum_positif,kum_positif_aktif,harian_meninggal,harian_sembuh,harian isoman,harian_dirawat,harian_positif,harian_positif_aktif
27/05/2021,7271,408585,5280,5633,426769,10913,21,566,287,66,940,353
28/05/2021,7288,409497,5161,5516,427462,10677,17,912,-119,-117,693,-236
05/29/2021,7296,410508,5004,5461,428269,10465,8,1011,-157,-55,807,-212
05/30/2021,7309,411495,5100,5429,429333,10529,13,987,96,-32,1064,64
05/31/2021,7327,412074,5241,5417,430059,10658,18,579,141,-12,726,129
06/01/2021,7349,412593,5214,5422,430578,10636,22,519,-27,5,519,-22
06/02/2021,7361,413179,5178,5461,431179,10639,12,586,-36,39,601,3
06/03/2021,7381,413680,5402,5430,431893,10832,20,501,224,-31,714,193
06/04/2021,7402,414496,5414,5487,432799,10901,21,816,12,57,906,69
06/05/2021,7423,415317,5756,5620,434116,11376,21,821,342,133,1317,475
06/06/2021,7438,416181,5966,5550,435135,11516,15,864,210,-70,1019,140
06/07/2021,7457,416994,6261,5620,436332,11881,19,813,295,70,1197,365
06/08/2021,7478,417997,6057,5555,437087,11612,21,1003,-204,-65,755,-269
06/09/2021,7499,419109,6120,5730,438458,11850,21,1112,63,175,1371,238
06/10/2021,7523,420211,6991,5829,440554,12820,24,1102,871,99,2096,970
06/11/2021,7543,421396,7750,6158,442847,13908,20,1185,759,329,2293,1088
06/12/2021,7557,422121,8855,6769,445302,15624,14,725,1105,611,2455,1716
06/13/2021,7571,423056,10034,7410,448071,17444,14,935,1179,641,2769,1820
06/14/2021,7609,424088,11240,7856,450793,19096,38,1032,1206,446,2722,1652
06/15/2021,7634,425417,11102,8142,452295,19244,25,1329,-138,286,1502,148
06/16/2021,7665,426695,11555,8756,454671,20311,31,1278,453,614,2376,1067
06/17/2021,7713,428764,13054,9284,458815,22338,48,2069,1499,528,4144,2027
06/18/2021,7777,431264,14951,9560,463552,24511,64,2500,1897,276,4737,2173
06/19/2021,7836,433499,16787,10325,468447,27112,59,2235,1836,765,4895,2601
06/20/2021,7905,435982,19105,11037,474029,30142,69,2483,2318,712,5582,3030
06/21/2021,7976,439007,20717,11343,479043,32060,71,3025,1612,306,5014,1918
06/22/2021,8014,442059,21167,11024,482264,32191,38,3052,450,-319,3221,131
06/23/2021,8057,443195,22868,12837,486957,35705,43,1136,1701,1813,4693,3514
06/24/2021,8107,445718,26403,14234,494462,40637,50,2523,3535,1397,7505,4932
06/25/2021,8177,448288,29325,15606,501396,44931,70,2570,2922,1372,6934,4294
06/26/2021,8220,451013,33829,17605,510667,51434,43,2725,4504,1999,9271,6503
06/27/2021,8269,454497,38464,18831,520061,57295,49,3484,4635,1226,9394,5861
06/28/2021,8348,457935,42252,19874,528409,62126,79,3438,3788,1043,8348,4831
